#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
X2|267|39.757198|112.125999|1537.0|Pinglu, Shuozhou, Shanxi,China|2005-09-30T00:00:00|2006-09-27T23:59:59
X2|268|39.735699|112.007004|1668.0|Pinglu, Shuozhou, Shanxi,China|2005-12-02T00:00:00|2006-09-05T23:59:59
X2|269|39.756199|111.885002|1430.0|Quingshuile,Hohhot, Inner Mongolia, China|2005-09-30T00:00:00|2006-09-27T23:59:59
X2|270|39.762798|111.751999|1320.0|Qingshuihe, Hohhot, Inner Mongolia,China|2005-09-30T00:00:00|2006-09-26T23:59:59
X2|271|39.749001|111.648003|1201.0|Qingshuihe, Hohhot, Inner Mongolia,China|2005-09-30T00:00:00|2006-09-26T23:59:59
X2|272|39.755699|111.546997|1432.0|Qingshuihe, Hohhot, Inner Mongolia,China|2005-11-30T00:00:00|2006-09-27T23:59:59
X2|273|39.743|111.425003|1348.0|Qingshuihe, Hohhot, Inner Mongolia,China|2005-10-01T00:00:00|2006-07-30T23:59:59
X2|274|39.737301|111.280998|1150.0|Junggar, Ordos, Inner Mongolia,China|2005-09-29T00:00:00|2006-07-19T23:59:59
X2|275|39.716999|111.18|1153.0|Junggar, Ordos, Inner Mongolia,China|2005-09-29T00:00:00|2006-09-25T23:59:59
X2|276|39.720699|111.056|1206.0|Junggar, Ordos, Inner Mongolia,China|2005-09-29T00:00:00|2006-09-25T23:59:59
X2|277|39.722198|110.950996|1130.0|Junggar, Ordos, Inner Mongolia,China|2005-09-19T00:00:00|2006-09-25T23:59:59
X2|278|39.702099|110.841003|989.0|Junggar, Ordos, Inner Mongolia,China|2005-09-19T00:00:00|2006-08-17T23:59:59
X2|279|39.688099|110.723999|1175.0|Junggar, Ordos, Inner Mongolia,China|2005-09-19T00:00:00|2006-06-21T23:59:59
X2|280|39.704498|110.616997|1324.0|Junggar, Ordos, Inner Mongolia,China|2005-09-19T00:00:00|2006-09-22T23:59:59
X2|281|39.6814|110.487|1319.0|Junggar, Ordos, Inner Mongolia,China|2005-09-20T00:00:00|2006-09-22T23:59:59
X2|282|39.694901|110.353996|1271.0|Junggar, Ordos, Inner Mongolia,China|2005-09-20T00:00:00|2006-09-23T23:59:59
X2|283|39.680599|110.253998|1336.0|Junggar, Ordos, Inner Mongolia,China|2005-09-20T00:00:00|2006-09-23T23:59:59
X2|284|39.6689|110.125|1440.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-20T00:00:00|2006-09-23T23:59:59
X2|285|39.6688|110.018997|1357.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-21T00:00:00|2006-09-23T23:59:59
X2|286|39.679298|109.873001|1304.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-21T00:00:00|2006-09-23T23:59:59
X2|287|39.665001|109.776001|1306.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-21T00:00:00|2006-09-22T23:59:59
X2|288|39.658298|109.653|1363.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-22T00:00:00|2006-09-22T23:59:59
X2|289|39.6465|109.538002|1414.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-22T00:00:00|2006-09-22T23:59:59
X2|290|39.645599|109.424004|1434.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-22T00:00:00|2006-09-21T23:59:59
X2|291|39.637299|109.304001|1326.0|Ejin Horo, Ordos, Inner Mongolia,China|2005-09-22T00:00:00|2006-09-21T23:59:59
X2|292|39.623199|109.198997|1469.0|Hanggin, Ordos, Inner Mongolia,China|2005-09-23T00:00:00|2006-09-16T23:59:59
X2|293|39.619099|109.074997|1473.0|Hanggin, Ordos, Inner Mongolia,China|2005-09-23T00:00:00|2006-09-16T23:59:59
X2|294|39.620499|108.957001|1471.0|Hanggin, Ordos, Inner Mongolia,China|2005-09-24T00:00:00|2006-09-18T23:59:59
X2|295|39.615398|108.842003|1439.0|Hanggin, Ordos, Inner Mongolia,China|2005-09-24T00:00:00|2006-09-18T23:59:59
X2|296|39.611401|108.716003|1470.0|Hanggin, Ordos, Inner Mongolia,China|2005-09-24T00:00:00|2006-09-20T23:59:59
X2|297|39.614799|108.600998|1451.0|Ottog, Ordos, Inner Mongolia, China|2005-09-24T00:00:00|2006-09-20T23:59:59
X2|298|39.6036|108.476997|1336.0|Ottog, Ordos, Inner Mongolia,China|2005-09-25T00:00:00|2006-09-20T23:59:59
X2|299|39.600101|108.372002|1379.0|Ottog, Ordos, Inner Mongolia,China|2005-09-25T00:00:00|2006-09-20T23:59:59
X2|300|39.5881|108.234001|1395.0|Ottog, Ordos, Inner Mongolia, China|2005-09-24T00:00:00|2006-06-15T23:59:59
X2|301|39.5919|108.124001|1389.0|Ottog, Ordos, Inner Mongolia,China|2005-09-27T00:00:00|2006-09-19T23:59:59
X2|302|39.581402|108.005997|1363.0|Ottog, Ordos, Inner Mongolia,China|2005-09-27T00:00:00|2006-09-19T23:59:59
X2|303|39.580898|107.885002|1339.0|Ottog, Ordos, Inner Mongolia,China|2005-09-28T00:00:00|2006-09-19T23:59:59
X2|304|39.559799|107.786003|1424.0|Ottog, Ordos, Inner Mongolia,China|2005-09-27T00:00:00|2006-09-19T23:59:59
X2|305|39.564899|107.664001|1463.0|Ottog, Ordos, Inner Mongolia,China|2005-09-27T00:00:00|2006-09-19T23:59:59
X2|306|39.572399|107.540001|1474.0|Ottog, Ordos, Inner Mongolia,China|2005-09-26T00:00:00|2006-09-18T23:59:59
X2|307|39.549301|107.443001|1484.0|Ottog, Ordos, Inner Mongolia,China|2005-09-26T00:00:00|2006-09-17T23:59:59
X2|308|39.555698|107.282997|1522.0|Ottog, Ordos, Inner Mongolia,China|2005-09-25T00:00:00|2006-09-17T23:59:59
XG|DXIAN|39.051701|113.055702|94.7|Dai Xian|2003-07-08T00:00:00|2004-08-09T23:59:59
XG|SHZ|40.1367|113.242401|1278.6|Shang Huang Zhuang|2003-03-26T00:00:00|2005-10-30T23:59:59
ZQ|197|39.8102|113.7714|1273.0|Hunyuan, Datong, Shanxi, China|2001-08-28T00:00:00|2003-03-02T23:59:59
ZQ|198|39.845901|113.642097|1273.0|Hunyuan, Datong, Shanxi, China|2001-08-28T00:00:00|2003-12-03T23:59:59
ZQ|199|39.917801|113.6035|1273.0|Datong, Shanxi, China|2001-10-25T00:00:00|2003-03-02T23:59:59
ZQ|200|39.9529|113.494499|1058.0|Datong, Shanxi, China|2001-08-28T00:00:00|2003-03-01T23:59:59

#DATACENTER=IRISPH5,http://ds.iris.edu
